Month,Passengers
1995-01-01,112
1995-02-01,118
1995-03-01,132
1995-04-01,129
1995-05-01,121
1995-06-01,135
1995-07-01,148
1995-08-01,148
1995-09-01,136
1995-10-01,119
1995-11-01,104
1995-12-01,118
1996-01-01,115
1996-02-01,126
1996-03-01,141
1996-04-01,135
1996-05-01,125
1996-06-01,149
1996-07-01,170
1996-08-01,170
1996-09-01,158
1996-10-01,133
1996-11-01,114
1996-12-01,140
1997-01-01,145
1997-02-01,150
1997-03-01,178
1997-04-01,163
1997-05-01,172
1997-06-01,178
1997-07-01,199
1997-08-01,199
1997-09-01,184
1997-10-01,162
1997-11-01,146
1997-12-01,166
1998-01-01,171
1998-02-01,180
1998-03-01,193
1998-04-01,181
1998-05-01,183
1998-06-01,218
1998-07-01,230
1998-08-01,242
1998-09-01,209
1998-10-01,191
1998-11-01,172
1998-12-01,194
1999-01-01,196
1999-02-01,196
1999-03-01,236
1999-04-01,235
1999-05-01,229
1999-06-01,243
1999-07-01,264
1999-08-01,272
1999-09-01,237
1999-10-01,211
1999-11-01,180
1999-12-01,201
2000-01-01,204
2000-02-01,188
2000-03-01,235
2000-04-01,227
2000-05-01,234
2000-06-01,264
2000-07-01,302
2000-08-01,293
2000-09-01,259
2000-10-01,229
2000-11-01,203
2000-12-01,229
2001-01-01,242
2001-02-01,233
2001-03-01,267
2001-04-01,269
2001-05-01,270
2001-06-01,315
2001-07-01,364
2001-08-01,347
2001-09-01,312
2001-10-01,274
2001-11-01,237
2001-12-01,278
2002-01-01,284
2002-02-01,277
2002-03-01,317
2002-04-01,313
2002-05-01,318
2002-06-01,374
2002-07-01,413
2002-08-01,405
2002-09-01,355
2002-10-01,306
2002-11-01,271
2002-12-01,306
